name,author,genres,description,price,qty,image,cloud_url
The Soulmate Equation,Christina Lauren,Romance ,"Single mom Jess Davis is a data and statistics wizard, but no amount of number crunching can convince her to step back into the dating world. After all, her father was never around, her hard-partying mother disappeared when she was six, and her ex decided he wasn?t ?father material? before her daughter was even born. Jess holds her loved ones close but working constantly to stay afloat is hard...and lonely.

But then Jess hears about GeneticAlly, a buzzy new DNA-based matchmaking company that?s predicted to change dating forever. Finding a soulmate through DNA? The reliability of numbers: This Jess understands.

At least she thought she did, until her test shows an unheard-of 98 percent compatibility with another subject in the database: GeneticAlly?s founder, Dr. River Pe¤a. This is one number she can?t wrap her head around, because she already knows Dr. Pe¤a. The stuck-up, stubborn man is without a doubt not her soulmate. But GeneticAlly has a proposition: Get to know him and we?ll pay you. Jess?who is barely making ends meet?is in no position to turn it down, despite her skepticism about the project and her dislike for River. As the pair are dragged from one event to the next as the ?Diamond? pairing that could launch GeneticAlly?s valuation sky-high, Jess begins to realize that there might be more to the scientist?and the science behind a soulmate?than she thought.

The Soulmate Equation proves that the delicate balance between fate and choice can never be calculated.",300,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1635692444i/58438593.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669823/ebooks/zdwvjgyxticdvhzo1x0d.jpg
The Kiss Quotient,Helen Hoang,Romance ,"A heartwarming and refreshing debut novel that proves one thing: there's not enough data in the world to predict what will make your heart tick.

Stella Lane thinks math is the only thing that unites the universe. She comes up with algorithms to predict customer purchases?a job that has given her more money than she knows what to do with, and way less experience in the dating department than the average thirty-year-old.

It doesn't help that Stella has Asperger's and French kissing reminds her of a shark getting its teeth cleaned by pilot fish. Her conclusion: she needs lots of practice?with a professional. Which is why she hires escort Michael Phan. The Vietnamese and Swedish stunner can't afford to turn down Stella's offer, and agrees to help her check off all the boxes on her lesson plan?from foreplay to more-than-missionary position...

Before long, Stella not only learns to appreciate his kisses, but to crave all the other things he's making her feel. Soon, their no-nonsense partnership starts making a strange kind of sense. And the pattern that emerges will convince Stella that love is the best kind of logic...",250,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1688188444i/36199084.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669825/ebooks/ap2ejq1ozot7gd1od8mn.jpg
The Last House on Needless Street,Catriona Ward,Horror,"This is the story of a serial killer. A stolen child. Revenge. Death. And an ordinary house at the end of an ordinary street.

All these things are true. And yet they are all lies...

You think you know what's inside the last house on Needless Street. You think you've read this story before. That's where you're wrong.

In the dark forest at the end of Needless Street, lies something buried. But it's not what you think...",300,45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603323638i/54621094.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669826/ebooks/tnektqvexr0k4zwpldlm.jpg
The Final Girl Support Group,Grady Hendrix,Horror,"In horror movies, the final girls are the ones left standing when the credits roll. They made it through the worst night of their lives?but what happens after?

Like his bestselling novel The Southern Book Club?s Guide to Slaying Vampires, Grady Hendrix?s latest is a fast-paced, frightening, and wickedly humorous thriller. From chain saws to summer camp slayers, The Final Girl Support Group pays tribute to and slyly subverts our most popular horror films?movies like The Texas Chainsaw Massacre , A Nightmare on Elm Street , and Scream.

Lynnette Tarkington is a real-life final girl who survived a massacre. For more than a decade, she?s been meeting with five other final girls and their therapist in a support group for those who survived the unthinkable, working to put their lives back together. Then one woman misses a meeting, and their worst fears are realized?someone knows about the group and is determined to rip their lives apart again, piece by piece.
 
But the thing about final girls is that no matter how bad the odds, how dark the night, how sharp the knife, they will never, ever give up.",400,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1614275199i/55829194.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669828/ebooks/snddqfvhlm23vtwexapp.jpg
My Heart Is a Chainsaw,Stephen Graham Jones,Horror,"You won?t find a more hardcore eighties-slasher-film fan than high school senior Jade Daniels. And you won?t find a place less supportive of girls who wear torn T-shirts and too much eyeliner than Proofrock, nestled eight thousand feet up a mountain in Idaho, alongside Indian Lake, home to both Camp Blood ? site of a massacre fifty years ago ? and, as of this summer, Terra Nova, a second-home celebrity Camelot being carved out of a national forest.

That?s not the only thing that?s getting carved up, though ? this, Jade knows, is the start of a slasher. But what kind? Who?s wearing the mask? Jade?s got an encyclopedic recall of every horror movie on the shelf, but? will that help her survive? Can she get a final girl trained enough to stop all this from happening? Does she even want to?

Isn?t a slasher exactly what her hometown deserves?

This new novel by the New York Times bestselling author of The Only Good Indians, Stephen Graham Jones, called ?one of our most talented living writers? by Tommy Orange, explores the changing landscape of the West through his distinct voice of sharp humor and prophetic violence.

Go up the mountain to Proofrock. See if you?ve got what it takes ? see if your heart, too, might be a chainsaw.",300,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1623264202i/55711617.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669829/ebooks/fzy3fddbtqhp468xaozr.jpg
The Book of Accidents,Chuck Wendig,Horror,"Long ago, Nathan lived in a house in the country with his abusive father?and has never told his family what happened there.

Long ago, Maddie was a little girl making dolls in her bedroom when she saw something she shouldn?t have?and is trying to remember that lost trauma by making haunting sculptures.

Long ago, something sinister, something hungry, walked in the tunnels and the mountains and the coal mines of their hometown in rural Pennsylvania.

Now, Nate and Maddie Graves are married, and they have moved back to their hometown with their son, Oliver.

And now what happened long ago is happening again . . . and it is happening to Oliver. He meets a strange boy who becomes his best friend, a boy with secrets of his own and a taste for dark magic.

This dark magic puts them at the heart of a battle of good versus evil and a fight for the soul of the family?and perhaps for all of the world. But the Graves family has a secret weapon in this battle: their love for one another.",200,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606934104i/55782435.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669834/ebooks/whjg4q0mye7dl5xjbm8m.png
The Devil's Hand,Jack Carr,Horror,"It?s been 20 years since 9/11. Two decades since the United States was attacked on home soil and embarked on 20 years of war. The enemy has been patient, learning, and adapting. And the enemy is ready to strike again.

A new president offers hope to a country weary of conflict. He?s a young, popular, self-made visionary?but he?s also a man with a secret.

Halfway across the globe a regional superpower struggles with sanctions imposed by the Great Satan and her European allies, a country whose ancient religion spawned a group of ruthless assassins. Faced with internal dissent and extrajudicial targeted killings by the United States and Israel, the Supreme Leader puts a plan in motion to defeat the most powerful nation on earth.

Meanwhile, in a classified facility five stories underground, a young PhD student has gained access to a level of bioweapons known only to a select number of officials. A second-generation agent, he has been assigned a mission that will bring his adopted homeland to its knees.",350,70,https://www.screamhorrormag.com/wp-content/uploads/2015/02/wherethedevilhides.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669836/ebooks/a1w6jsn1wlgctylkw0is.jpg
The Cabin at the End of the World,Paul Tremblay,Horror,"Seven-year-old Wen and her parents, Eric and Andrew, are vacationing at a remote cabin on a quiet New Hampshire lake. Their closest neighbors are more than two miles in either direction along a rutted dirt road.

One afternoon, as Wen catches grasshoppers in the front yard, a stranger unexpectedly appears in the driveway. Leonard is the largest man Wen has ever seen but he is young, friendly, and he wins her over almost instantly. Leonard and Wen talk and play until Leonard abruptly apologizes and tells Wen, ""None of what?s going to happen is your fault"". Three more strangers then arrive at the cabin carrying unidentifiable, menacing objects. As Wen sprints inside to warn her parents, Leonard calls out: ""Your dads won?t want to let us in, Wen. But they have to. We need your help to save the world.""",300,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575855422i/36381091.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669837/ebooks/sn2klegfrudlg2pllrgu.jpg
The Only Good Indians,Stephen Graham Jones,Horror,"The creeping horror of Paul Tremblay meets Tommy Orange?s There There in a dark novel of revenge, cultural identity, and the cost of breaking from tradition in this latest novel from the Jordan Peele of horror literature, Stephen Graham Jones.

Seamlessly blending classic horror and a dramatic narrative with sharp social commentary, The Only Good Indians follows four American Indian men after a disturbing event from their youth puts them in a desperate struggle for their lives. Tracked by an entity bent on revenge, these childhood friends are helpless as the culture and traditions they left behind catch up to them in a violent, vengeful way.",200,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1601545259i/52180399.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669838/ebooks/skn4jvlighnsphdsvshl.jpg
Survivor Song,Paul Tremblay,Horror,"In a matter of weeks, Massachusetts has been overrun by an insidious rabies-like virus that is spread by saliva. But unlike rabies, the disease has a terrifyingly short incubation period of an hour or less. Those infected quickly lose their minds and are driven to bite and infect as many others as they can before they inevitably succumb. Hospitals are inundated with the sick and dying, and hysteria has taken hold. To try to limit its spread, the commonwealth is under quarantine and curfew. But society is breaking down and the government's emergency protocols are faltering.

Dr. Ramola ""Rams"" Sherman, a soft-spoken pediatrician in her mid-thirties, receives a frantic phone call from Natalie, a friend who is eight months pregnant. Natalie's husband has been killed?viciously attacked by an infected neighbor?and in a failed attempt to save him, Natalie, too, was bitten. Natalie's only chance of survival is to get to a hospital as quickly as possible to receive a rabies vaccine. The clock is ticking for her and for her unborn child.

Natalie?s fight for life becomes a desperate odyssey as she and Rams make their way through a hostile landscape filled with dangers beyond their worst nightmares?terrifying, strange, and sometimes deadly challenges that push them to the brink. 
",350,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575564155i/52581895.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669845/ebooks/tv27iumddjukyfz4rggj.jpg
A Head Full of Ghosts,Paul Tremblay,Horror,"The lives of the Barretts, a normal suburban New England family, are torn apart when fourteen-year-old Marjorie begins to display signs of acute schizophrenia.

To her parents' despair, the doctors are unable to stop Marjorie's descent into madness. As their stable home devolves into a house of horrors, they reluctantly turn to a local Catholic priest for help. Father Wanderly suggests an exorcism; he believes the vulnerable teenager is the victim of demonic possession. He also contacts a production company that is eager to document the Barretts' plight. With John, Marjorie's father, out of work for more than a year and the medical bills looming, the family agrees to be filmed, and soon find themselves the unwitting stars of The Possession, a hit reality television show. When events in the Barrett household explode in tragedy, the show and the shocking incidents it captures become the stuff of urban legend.

Fifteen years later, a bestselling writer interviews Marjorie's younger sister, Merry. As she recalls those long ago events that took place when she was just eight years old, long-buried secrets and painful memories that clash with what was broadcast on television begin to surface--and a mind-bending tale of psychological horror is unleashed, raising vexing questions about memory and reality, science and religion, and the very nature of evil.",300,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415678368i/23019294.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669846/ebooks/f3zsgemmvlribs6680ve.jpg
The Push,Ashley Audrain,Horror,"An alternative cover edition for this ISBN can be found here.

A tense, page-turning psychological drama about the making and breaking of a family?and a woman whose experience of motherhood is nothing at all what she hoped for?and everything she feared.

Blythe Connor is determined that she will be the warm, comforting mother to her new baby Violet that she herself never had.

But in the thick of motherhood?s exhausting early days, Blythe becomes convinced that something is wrong with her daughter?she doesn?t behave like most children do.

Or is it all in Blythe?s head? Her husband, Fox, says she?s imagining things. The more Fox dismisses her fears, the more Blythe begins to question her own sanity, and the more we begin to question what Blythe is telling us about her life as well.

Then their son Sam is born?and with him, Blythe has the blissful connection she?d always imagined with her child. Even Violet seems to love her little brother. But when life as they know it is changed in an instant, the devastating fall-out forces Blythe to face the truth.

The Push is a tour de force you will read in a sitting, an utterly immersive novel that will challenge everything you think you know about motherhood, about what we owe our children, and what it feels like when women are not believed.",350,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609854219i/52476830.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669867/ebooks/vdnbzelbr5qd9mztjgf5.jpg
The Atlas Six,Olivie Blake,Fantasy,"The Alexandrian Society, caretakers of lost knowledge from the greatest civilizations of antiquity, are the foremost secret society of magical academicians in the world. Those who earn a place among the Alexandrians will secure a life of wealth, power, and prestige beyond their wildest dreams, and each decade, only the six most uniquely talented magicians are selected to be considered for initiation.

Enter the latest round of six: Libby Rhodes and Nico de Varona, unwilling halves of an unfathomable whole, who exert uncanny control over every element of physicality. Reina Mori, a naturalist, who can intuit the language of life itself. Parisa Kamali, a telepath who can traverse the depths of the subconscious, navigating worlds inside the human mind. Callum Nova, an empath easily mistaken for a manipulative illusionist, who can influence the intimate workings of a person?s inner self. Finally, there is Tristan Caine, who can see through illusions to a new structure of reality?an ability so rare that neither he nor his peers can fully grasp its implications.

When the candidates are recruited by the mysterious Atlas Blakely, they are told they will have one year to qualify for initiation, during which time they will be permitted preliminary access to the Society?s archives and judged based on their contributions to various subjects of impossibility: time and space, luck and thought, life and death. Five, they are told, will be initiated. One will be eliminated. The six potential initiates will fight to survive the next year of their lives, and if they can prove themselves to be the best among their rivals, most of them will.
",400,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1714503138i/50520939.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669869/ebooks/iixobxzrpejfbmoxfqwf.jpg
The Shadow of the Gods,John Gwynne,Fantasy,"Set in a brand-new, Norse-inspired world, and packed with myth, magic and bloody vengeance, The Shadow of the Gods begins an epic new fantasy saga from bestselling author John Gwynne.

After the gods warred and drove themselves to extinction, the cataclysm of their fall shattered the land of Vigri?.

Now a new world is rising, where power-hungry jarls feud and monsters stalk the woods and mountains. A world where the bones of the dead gods still hold great power for those brave - or desperate - enough to seek them out.

Now, as whispers of war echo across the mountains and fjords, fate follows in the footsteps of three people: a huntress on a dangerous quest, a noblewoman who has rejected privilege in pursuit of battle fame, and a thrall who seeks vengeance among the famed mercenaries known as the Bloodsworn.

All three will shape the fate of the world as it once more falls under the shadow of the gods . . .
Genres",250,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610375894i/52694527.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669873/ebooks/sujunk3t8lloj6eoc10b.jpg
The City We Became,N.K. Jemisin,Fantasy,"Five New Yorkers must come together in order to defend their city.

Every city has a soul. Some are as ancient as myths, and others are as new and destructive as children. New York City? She's got five.

But every city also has a dark side. A roiling, ancient evil stirs beneath the earth, threatening to destroy the city and her five protectors unless they can come together and stop it once and for all.",300,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585327950i/42074525.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669875/ebooks/wdlw7jstrehlq4nn3inl.jpg
A Psalm for the Wild-Built,Becky Chambers,Fantasy,"Centuries before, robots of Panga gained self-awareness, laid down their tools, wandered, en masse into the wilderness, never to be seen again. They faded into myth and urban legend.

Now the life of the tea monk who tells this story is upended by the arrival of a robot, there to honor the old promise of checking in. The robot cannot go back until the question of ""what do people need?"" is answered. But the answer to that question depends on who you ask, and how. They will need to ask it a lot. Chambers' series asks: in a world where people have what they want, does having more matter?",200,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600789291i/40864002.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669877/ebooks/ogaznjykbejl932eil8y.jpg
The Last Graduate,Naomi Novik,Fantasy,"A budding dark sorceress determined not to use her formidable powers uncovers yet more secrets about the workings of her world in the stunning sequel to A Deadly Education, the start of Naomi Novik?s groundbreaking crossover series.

At the Scholomance, El, Orion, and the other students are faced with their final year?and the looming specter of graduation, a deadly ritual that leaves few students alive in its wake. El is determined that her chosen group will survive, but it is a prospect that is looking harder by the day as the savagery of the school ramps up. Until El realizes that sometimes winning the game means throwing out all the rules . . .",250,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604391810i/55559887.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669878/ebooks/rcefhn9z624bxagdnmdy.jpg
The Maid,Nita Prose,Fantasy,"Molly Gray is not like everyone else. She struggles with social skills and misreads the intentions of others. Her gran used to interpret the world for her, codifying it into simple rules that Molly could live by.

Since Gran died a few months ago, twenty-five-year-old Molly has been navigating life's complexities all by herself. No matter?she throws herself with gusto into her work as a hotel maid. Her unique character, along with her obsessive love of cleaning and proper etiquette, make her an ideal fit for the job. She delights in donning her crisp uniform each morning, stocking her cart with miniature soaps and bottles, and returning guest rooms at the Regency Grand Hotel to a state of perfection.

But Molly's orderly life is upended the day she enters the suite of the infamous and wealthy Charles Black, only to find it in a state of disarray and Mr. Black himself dead in his bed. Before she knows what's happening, Molly's unusual demeanor has the police targeting her as their lead suspect. She quickly finds herself caught in a web of deception, one she has no idea how to untangle. Fortunately for Molly, friends she never knew she had unite with her in a search for clues to what really happened to Mr. Black?but will they be able to find the real killer before it's too late?

A Clue-like, locked-room mystery and a heartwarming journey of the spirit, The Maid explores what it means to be the same as everyone else and yet entirely different?and reveals that all mysteries can be solved through connection to the human heart.",350,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1643228739i/55196813.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669879/ebooks/wrmdjfk9gtienh7fchkk.jpg
